iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BLR,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.7022,
BLR,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.702205,
NFK,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.702445,
NFK,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.70245,
NFK,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.702461,
NFK,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.702466,
SLE,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.702586,
SLE,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.702591,
SLE,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.702601,
SLE,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.702606,
MWI,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,0,tonnes,annual,2022-09-05 15:48:05.702313,2022-09-15 16:29:30.315219
MWI,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,0,tonnes,annual,2022-09-05 15:48:05.702318,2022-09-15 16:29:30.315219
MWI,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,0,tonnes,annual,2022-09-05 15:48:05.70233,2022-09-15 16:29:30.315219
MWI,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,0,tonnes,annual,2022-09-05 15:48:05.702335,2022-09-15 16:29:30.315219
CRI,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,0,tonnes,annual,2022-09-05 15:48:05.701528,2022-09-15 16:29:30.315219
CRI,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,0,tonnes,annual,2022-09-05 15:48:05.701533,2022-09-15 16:29:30.315219
CRI,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,0,tonnes,annual,2022-09-05 15:48:05.701543,2022-09-15 16:29:30.315219
